Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Image
6280118,One Day,David Nicholls,"Nicholls, David",,340896965,9780340896969,4,Hodder & Stoughton,Paperback,435,2009,2009,,2013/06/01,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327873020i/6280118.jpg
13562049,Sweet Tooth,Ian McEwan,"McEwan, Ian",,,,3,Jonathan Cape,Hardcover,320,2012,2012,,2013/06/05,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1344373046i/13562049.jpg
9460487,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"Riggs, Ransom",,1594744769,9781594744761,2,Quirk,Hardcover,352,2011,2011,,2013/06/07,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1623449170i/9460487.jpg
9118135,State of Wonder,Ann Patchett,"Patchett, Ann",,62049801,9780062049803,3,HarperCollins Publishers,Hardcover,353,2011,2011,,2013/06/09,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1454428541i/9118135.jpg
307791,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,"DuPrau, Jeanne",,375822747,9780375822742,3,Random House Children's Books,Paperback,270,2003,2003,,2013/06/12,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1591616783i/307791.jpg
15783514,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,62255657,9780062255655,4,William Morrow Books,Hardcover,181,2013,2013,,2013/06/14,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1497098563i/15783514.jpg
10746542,The Sense of an Ending,Julian Barnes,"Barnes, Julian",,224094157,9780224094153,4,Jonathan Cape,Hardcover,150,2011,2011,,2013/06/15,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1311704453i/10746542.jpg
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,,9780385534635,3,Doubleday,Hardcover,506,2011,2011,,2013/06/20,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1387124618i/9361589.jpg
10281556,Night Film,Marisha Pessl,"Pessl, Marisha",,,,5,Random House,ebook,624,2013,2013,,2013/06/24,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1364181583i/10281556.jpg
338691,"Still Life (Chief Inspector Armand Gamache, #1)",Louise Penny,"Penny, Louise",,312948557,9780312948559,3,St. Martin's Paperbacks,Mass Market Paperback,293,2007,2005,,2013/07/06,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1324373974i/338691.jpg
12878667,The Red House,Mark Haddon,"Haddon, Mark",,385535775,9780385535779,1,Doubleday,Hardcover,264,2012,2012,,2013/07/08,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1333578268i/12878667.jpg
8442457,Gone Girl,Gillian Flynn,"Flynn, Gillian",,,,3,Weidenfeld & Nicolson,Hardcover,399,2012,2012,,2013/07/10,,,read,https://covers.openlibrary.org/b/isbn/9780307588364-L.jpg
6217,Kristin Lavransdatter,Sigrid Undset,"Undset, Sigrid","Brad Leithauser, Tiina Nunnally",143039164,9780143039167,3,Penguin Books,Paperback,1144,2005,1920,,2013/07/28,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1750991973i/6217.jpg
2819,"A Circle of Quiet (Crosswicks Journals, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,62545035,9780062545039,5,HarperOne,Paperback,246,1984,1971,,2013/07/29,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1478094249i/2819.jpg
16131077,The Shining Girls,Lauren Beukes,"Beukes, Lauren",,316216852,9780316216852,3,Mulholland Books,Hardcover,368,2013,2013,,2013/08/05,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1352227705i/16131077.jpg
5439,Interpreter of Maladies,Jhumpa Lahiri,"Lahiri, Jhumpa",,618101365,9780618101368,4,Houghton Mifflin Harcourt,Hardcover,198,2000,1999,,2013/08/06,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1442586143i/5439.jpg
17262100,The Lowland,Jhumpa Lahiri,"Lahiri, Jhumpa",,307265749,9780307265746,4,Knopf,Hardcover,340,2013,2013,,2013/08/13,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1366930267i/17262100.jpg
49628,Cloud Atlas,David  Mitchell,"Mitchell, David",,375507256,9780375507250,4,Random House,Paperback,509,2004,2004,,2013/08/25,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1563042852i/49628.jpg
426454,"The Summer of the Great-Grandmother (Crosswicks Journal, #2)",Madeleine L'Engle,"L'Engle, Madeleine",,006254506X,9780062545060,5,HarperOne,Paperback,256,1984,1974,,2013/08/27,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1440549618i/426454.jpg
